topic_words3,Eesti Reformierakonna fraktsioon,Isamaa fraktsioon,difference
valimisliitude volikogusse volikokku,0.0115370962016329,0.0092300765420981,19.99653655664479
huvigruppe huvigruppide kaasatud,0.0114483493077742,0.0090049527239981,21.342785043402458
ammendumiseni kaheni pikendada,0.0015086971955981,0.0006753714542998,55.23479089970343
soita jalakaija konniteel,0.0084309549165779,0.0063034669067987,25.23424725704429
riigiloivude riigiloivud riigiloivu,0.0033723819666311,0.0020261143628995,39.92037726012626
oppelaenu sugava puudega,0.0008874689385871,0.0002251238180999,74.63304817650184
id mobiil kaardi,0.003106141285055,0.0018009905447996,42.01839583199416
korrata stenogrammist vabandan,0.001242456514022,0.0004502476361999,63.76149739499635
ts parvlaeva parvlaevad,0.0022186723464678,0.0011256190904997,49.26609635299584
koolis kooli opilased,0.0296414625488107,0.0254389914452949,14.177677962400054
missiooni missioonile missioon,0.0059460418885339,0.0040522287257991,31.849980175665266
etv saateid pbk,0.0051473198438054,0.0033768572714993,34.39581424956102
danske filiaali rahapesu,0.0019524316648917,0.0009004952723998,53.87826941181319
utah jordaania energia,0.0009762158324458,0.0002251238180999,76.93913470591053
memorandumi moistmise memorandum,0.0009762158324458,0.0002251238180999,76.93913470591053
muraste kase kompleksi,0.0009762158324458,0.0002251238180999,76.93913470591053
hoone rkas hoonet,0.0029286474973375,0.0015758667266996,46.191314313782854
volakirjade keskpank volakirju,0.004969826056088,0.0031517334533993,36.582620441243606
normitehnika mojude eeskiri,0.0035498757543485,0.0020261143628995,42.92435839711952
eriarstide eriarstiabi eriarsti,0.0069222577209797,0.004727600180099,31.70436047518456
kutsehariduse kutseharidus kutsehariduses,0.0030173943911963,0.0015758667266996,47.77392271632017
elatisraha elatisabi elatise,0.0010649627263045,0.0002251238180999,78.86087348041781
valismaale valjarande valjaranne,0.0021299254526091,0.0009004952723998,57.72174696082823
vaesuses suhtelises vaesuse,0.0021299254526091,0.0009004952723998,57.72174696082823
vagivalla naistevastase perevagivalla,0.002484913028044,0.0011256190904997,54.70187174374745
treenerite spordi sport,0.0057685481008164,0.0036019810895992,37.558272434454935
eelarvele kulude riigieelarvele,0.0040823571175008,0.0022512381809995,44.854452557602364
rahvaalgatuse rahvaalgatus rahvahaaletus,0.001242456514022,0.0002251238180999,81.8807486975022
volitust kaasuses jarvik,0.0023074192403265,0.0009004952723998,60.97392027153332
hansson ardo panga,0.0013312034078807,0.0002251238180999,83.08869878433521
deklaratsiooni deklaratsioone deklaratsioonis,0.0023961661341853,0.0009004952723998,62.41933063184829
ootuse oigusparase oiguskindluse,0.003106141285055,0.0013507429085997,56.513796873995624
abielu kooselu samasooliste,0.0058572949946751,0.0033768572714993,42.347836764765646
pensioni pension sammas,0.0047035853745118,0.0022512381809995,52.1378267481078
pensioniiga pensioniea eluiga,0.003106141285055,0.0011256190904997,63.76149739499796
kaasne lisakulutusi riigieelarvele,0.0050585729499467,0.0024763619990995,51.046233323064115
sularaha kommertspangad pangad,0.002484913028044,0.0006753714542998,72.82112304624928
abipolitseinik abipolitseiniku abipolitseinike,0.0019524316648917,0.0002251238180999,88.46956735295586
jaatmeid liigiti prugi,0.0042598509052183,0.0018009905447996,57.72174696082922
valijate erakonda valijaid,0.0052360667376641,0.0024763619990995,52.7056830409261
leping ratifitseerida lepinguga,0.005591054313099,0.0027014858171994,51.6819965266618
pensionifondide pensionifondid fondid,0.0060347887823926,0.0029266096352994,51.50435680800922
teenistuse teenistuses avalikus,0.0038161164359247,0.0013507429085997,64.60425326953118
taanis saksamaal hollandis,0.0067447639332623,0.0033768572714993,49.933647716770636
inimarengu aruanne aruandes,0.0055023074192403,0.0024763619990995,54.99411773249467
riigikontrolli auditi auditit,0.0036386226482073,0.0011256190904997,69.06469289816913
uuring uuringut uuringu,0.004348597799077,0.0015758667266996,63.76149739499749
ajakirjandus ajakirjanduse ajakirjandust,0.0056798012069577,0.0024763619990995,56.40055155335399
noukogudesse ariuhingute noukogudes,0.0055023074192403,0.0022512381809995,59.08556157499598
annetus erjk annetuse,0.003106141285055,0.0006753714542998,78.2568984369994
vee monopolide veeteenuse,0.0038161164359247,0.0011256190904997,70.5035443912773
kulukuse krediidi kiirlaenude,0.0027511537096201,0.0002251238180999,91.81711231500086
kohtla jarve johvi,0.0027511537096201,0.0002251238180999,91.81711231500086
teede teehoiuks teedele,0.0048810791622293,0.0018009905447996,63.10261552945094
moisteid moiste moisted,0.009318423855165,0.004727600180099,49.26609635299435
jalitustegevuse jalitustoimingu sideandmete,0.0032836350727724,0.0002251238180999,93.1440670747305
kandidaadi kandidaati kandidaat,0.0038161164359247,0.0009004952723998,76.40283551302079
prokuratuur prokuratuuri prokuror,0.0102058927937522,0.004952723998199,51.47191825069007
untso missioonide liikmesusest,0.0082534611288604,0.0033768572714993,59.085561574995126
muugimaksu muugimaks paadimaksu,0.0040823571175008,0.0004502476361999,88.97089051152048
arengufond arengufondi arengufondis,0.009939652112176,0.004502476361999,54.701871743745436
aasia aasias saatkonna,0.0057685481008164,0.0011256190904997,80.48696013576803
toovoimereformi toovoimega toovoimereform,0.0064785232516861,0.0015758667266996,75.67552564869679
tootuid tootute tootu,0.0059460418885339,0.0011256190904997,81.06943893768563
pohiseadusega riigikohus oiguskantsler,0.0125133120340788,0.0051778478162989,58.621284259534725
jarviku jarvik maaeluministri,0.0120695775647852,0.004502476361999,62.69565908308466
kohtunike kohtususteem kohtuniku,0.0112708555200567,0.0031517334533993,72.03643106070582
efsf esm kreekale,0.0112708555200567,0.0015758667266996,86.01821553035334
maksuamet tolliamet tolliameti,0.0165069222577209,0.004952723998199,69.99607848832979
tulumaksuvaba maksususteemi tulumaksu,0.0220092296769613,0.0058532192705988,73.40561502374706
ulejaagis struktuurses struktuurse,0.0297302094426695,0.009905447996398,66.68221253032456
koosoleku elektrooniline koosolekut,0.0014199503017394,0.0,100.0
voidusamba vabadussoja uurimiskomisjon,0.0010649627263045,0.0,100.0
matusetoetust matusetoetus matusetoetuse,0.0008874689385871,0.0,100.0
hambaravi hammaste hambad,0.0007099751508697,0.0,100.0
hiv narkomaania epideemia,0.000621228257011,0.0,100.0
operatsioonil sojalisel panustamisel,0.0004437344692935,0.0,100.0
ene ergma aplaus,0.0001774937877174,0.0,100.0
liibanonis missioonil pikendamine,8.874689385871494e-05,0.0,100.0
seksuaalse vangistusega vaarkohtlemise,8.874689385871494e-05,0.0,100.0
koondaruande majandusaasta koondaruanne,0.0,0.0002251238180999,-inf
kontrollin haaled kandidaadi,0.0,0.0,
