topic_words3,Eesti Keskerakonna fraktsioon,Eesti Konservatiivse Rahvaerakonna fraktsioon,Eesti Reformierakonna fraktsioon,Eesti Vabaerakonna fraktsioon,Eestimaa Rahvaliidu fraktsioon,Erakonna Eestimaa Rohelised fraktsioon,Fraktsioonidesse mittekuulunud Riigikogu liikmed,Isamaa fraktsioon,Isamaa ja Res Publica Liidu fraktsioon,Sotsiaaldemokraatliku Erakonna fraktsioon
kaitseliit kaitseliidule kaitseliidu,0.00313782283369539,0.011577608142493638,0.004348597799077032,0.005065123010130246,0.0,0.0,0.00846262341325811,0.005402971634398919,0.0015455950540958269,0.00293842660611727
kala kalurid kalurite,0.0026550808592807145,0.0030534351145038168,0.001597444089456869,0.000361794500723589,0.0,0.03626943005181347,0.003996238834038552,0.00585321927059883,0.0033487892838742917,0.003071991451849873
kandidaadi kandidaati kandidaat,0.002172338884866039,0.0013994910941475826,0.0038161164359247425,0.002894356005788712,0.0,0.0,0.0021156558533145277,0.0009004952723998199,0.002833590932509016,0.00293842660611727
kandidaati kandidaat valituks,0.002172338884866039,0.0015267175572519084,0.0023074192403265887,0.002170767004341534,0.0,0.0,0.0004701457451810061,0.002476361999099505,0.004121586810922205,0.0021370375317216507
kandideerima ametikohale kandidaatide,0.001126397940300909,0.0007633587786259542,0.0010649627263045794,0.001447178002894356,0.0,0.0,0.0004701457451810061,0.00045024763619990995,0.0005151983513652757,0.0008013890743956191
kantsler kantsleri riigisekretar,0.0015286829189798052,0.002544529262086514,0.001774937877174299,0.003979739507959479,0.003067484662576687,0.0025906735751295338,0.0025858015984955335,0.002926609635299415,0.002833590932509016,0.0018699078402564446
karistuse karistus tingimisi,0.007160672620484351,0.009287531806615776,0.009762158324458644,0.008321273516642547,0.003067484662576687,0.007772020725388601,0.007992477668077104,0.008329581269698334,0.0077279752704791345,0.004941899292106318
kasvavad tuleval kasv,0.0016091399147155846,0.0008905852417302799,0.0029286474973375934,0.0,0.0,0.0,0.0004701457451810061,0.00405222872579919,0.0033487892838742917,0.0012020836115934285
katteallikas katteallikaid katteallikat,0.0041837637782605195,0.002417302798982188,0.005857294994675187,0.003979739507959479,0.003067484662576687,0.007772020725388601,0.003526093088857546,0.004277352543899144,0.01648634724368882,0.005342593829304127
kauguhendus avaksite ettekandjalt,0.0032987368251669483,0.01361323155216285,0.0026624068157614484,0.002532561505065123,0.0,0.0,0.0028208744710860366,0.006528590724898694,0.0010303967027305513,0.003739815680512889
keeleoskust oskuse keeleoskuse,0.0026550808592807145,0.002544529262086514,0.0024849130280440185,0.004341534008683068,0.0,0.0,0.0025858015984955335,0.004277352543899144,0.0007727975270479134,0.0010685187658608254
keskkonnaameti uhendamine uhendamise,0.001448225923244026,0.0021628498727735367,0.003194888178913738,0.002894356005788712,0.0,0.0,0.0028208744710860366,0.004727600180099055,0.001287995878413189,0.0016027781487912382
kinnisasja maad maa,0.007723871590634806,0.0030534351145038168,0.004703585374511892,0.005065123010130246,0.006134969325153374,0.02072538860103627,0.008227550540667606,0.008779828905898244,0.0072127769191138585,0.008681714972619206
kinnitamise paevakorra paevakord,0.000724112961622013,0.0003816793893129771,0.00044373446929357475,0.000723589001447178,0.0,0.0,0.0,0.0011256190904997748,0.0010303967027305513,0.00040069453719780956
kirik kiriku maarja,0.000724112961622013,0.001272264631043257,0.0010649627263045794,0.006874095513748191,0.0,0.0,0.0009402914903620122,0.0011256190904997748,0.0018031942297784646,0.0005342593829304127
kodakondsust kodakondsuse kodanikuks,0.00724112961622013,0.008396946564885497,0.010117145899893504,0.005788712011577424,0.0,0.0,0.007992477668077104,0.008329581269698334,0.0077279752704791345,0.009750233738480033
kodualuse maamaksu maamaksust,0.01150535039021643,0.0007633587786259542,0.004259850905218318,0.001085383502170767,0.0,0.007772020725388601,0.010108133521391631,0.004727600180099055,0.02627511591962906,0.009082409509817016
kohanimenoukogu vonnu mulgi,0.001126397940300909,0.0003816793893129771,0.00026624068157614486,0.006874095513748191,0.0,0.0,0.0009402914903620122,0.0027014858171994596,0.0010303967027305513,0.0005342593829304127
kohtla jarve johvi,0.006195188671655001,0.0021628498727735367,0.002751153709620163,0.003979739507959479,0.003067484662576687,0.0,0.0028208744710860366,0.00022512381809995497,0.0015455950540958269,0.0020034726859890477
kohtunike kohtususteem kohtuniku,0.007080215624748572,0.0067430025445292625,0.011270855520056798,0.011577424023154847,0.009202453987730062,0.0051813471502590676,0.008227550540667606,0.0031517334533993696,0.006697578567748583,0.0033391211433150794
kohtutaiturite kohtutaitur kohtutaituri,0.0013677689275082467,0.0006361323155216285,0.0024849130280440185,0.002532561505065123,0.006134969325153374,0.0051813471502590676,0.0028208744710860366,0.002026114362899595,0.002833590932509016,0.0016027781487912382
kolledz kolledzi turi,0.0010459409445651299,0.0003816793893129771,0.0003549875754348598,0.0,0.0,0.0,0.0018805829807240243,0.00022512381809995497,0.0007727975270479134,0.0005342593829304127
koneleja konsensuslikud repliigi,0.000724112961622013,0.0005089058524173028,0.00026624068157614486,0.003979739507959479,0.0,0.0025906735751295338,0.00023507287259050304,0.00022512381809995497,0.0015455950540958269,0.0005342593829304127
konkurss konkursi konkurssi,0.001770053906187143,0.0017811704834605599,0.001863684771033014,0.002170767004341534,0.0,0.0,0.0021156558533145277,0.0027014858171994596,0.0005151983513652757,0.001469213303058635
kontrollin haaled kandidaadi,0.00016091399147155844,0.0002544529262086514,0.0,0.0,0.0,0.0,0.00023507287259050304,0.0,0.0,0.0
koolilouna koolitoidu koolitoit,0.010137581462708182,0.0013994910941475826,0.0019524316648917288,0.000361794500723589,0.0,0.0,0.003996238834038552,0.0031517334533993696,0.005409582689335394,0.004808334446373714
koolis kooli opilased,0.03129777134121812,0.02455470737913486,0.029641462548810792,0.030028943560057888,0.012269938650306749,0.010362694300518135,0.013399153737658674,0.025438991445294913,0.012107161257083977,0.03018565513556832
koolituse koolitus koolitusele,0.0012068549360366883,0.0006361323155216285,0.0010649627263045794,0.0,0.0,0.0,0.0004701457451810061,0.0018009905447996398,0.0005151983513652757,0.0032055562975824765
koondaruande majandusaasta koondaruanne,8.045699573577922e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00022512381809995497,0.0,0.0
koosoleku elektrooniline koosolekut,0.0005631989701504545,0.0006361323155216285,0.0014199503017394391,0.000361794500723589,0.0,0.0,0.0,0.0,0.00025759917568263783,0.0008013890743956191
korrata stenogrammist vabandan,0.0006436559658862338,0.0007633587786259542,0.0012424565140220093,0.000723589001447178,0.0,0.0,0.0009402914903620122,0.00045024763619990995,0.00025759917568263783,0.00040069453719780956
korruptsiooni korruptsioon korruptsiooniga,0.0016091399147155846,0.004198473282442748,0.0009762158324458644,0.006150506512301013,0.003067484662576687,0.0,0.003291020216267043,0.002026114362899595,0.0010303967027305513,0.0033391211433150794
korterelamute kortermajade kredexi,0.002252795880601818,0.0013994910941475826,0.003549875754348598,0.000723589001447178,0.0,0.007772020725388601,0.0014104372355430183,0.005402971634398919,0.0030911901081916537,0.004541204754908508
korterid kortereid korterit,0.004425134765467857,0.0036895674300254453,0.0029286474973375934,0.001447178002894356,0.006134969325153374,0.007772020725388601,0.0061118946873530795,0.004277352543899144,0.00231839258114374,0.004274075063443301
korteriuhistu korteriomanike korteriuhistute,0.0026550808592807145,0.0002544529262086514,0.0022186723464678736,0.001085383502170767,0.0,0.0,0.004466384579219558,0.0013507429085997298,0.0015455950540958269,0.0025377320689194604
krimmi agressiooni ukraina,0.007562957599163247,0.0227735368956743,0.015885694000709976,0.01447178002894356,0.0,0.007772020725388601,0.013164080865068171,0.02408824853669518,0.011334363730036065,0.007746761052490984
kulukuse krediidi kiirlaenude,0.0019309678976587015,0.0,0.002751153709620163,0.000723589001447178,0.0,0.0,0.0011753643629525152,0.00022512381809995497,0.004379185986604843,0.0033391211433150794
kusija vastaja vastasin,0.0002413709872073377,0.0001272264631043257,0.0006212282570110046,0.000723589001447178,0.003067484662576687,0.0,0.0004701457451810061,0.00045024763619990995,0.0018031942297784646,0.00026712969146520634
kusimusena tahtsa tahtsusega,0.001770053906187143,0.0008905852417302799,0.002751153709620163,0.002170767004341534,0.0,0.0025906735751295338,0.0021156558533145277,0.0018009905447996398,0.002575991756826378,0.0018699078402564446
kutsehariduse kutseharidus kutsehariduses,0.0030573658379596104,0.0019083969465648854,0.003017394391196308,0.008321273516642547,0.003067484662576687,0.0,0.0011753643629525152,0.0015758667266996848,0.00231839258114374,0.0026712969146520634
laari laar kandidatuuri,0.0013677689275082467,0.0016539440203562341,0.001774937877174299,0.001447178002894356,0.003067484662576687,0.0,0.00023507287259050304,0.0011256190904997748,0.0030911901081916537,0.0006678242286630158
lae korgepalgaliste lagi,0.0008045699573577923,0.0002544529262086514,0.0006212282570110046,0.005065123010130246,0.003067484662576687,0.0025906735751295338,0.0016455101081335214,0.0011256190904997748,0.00025759917568263783,0.0008013890743956191
lahususe voimude lahusus,0.0013677689275082467,0.004325699745547073,0.0028399006034788782,0.002532561505065123,0.0,0.0,0.0028208744710860366,0.002926609635299415,0.0036063884595569293,0.0020034726859890477
lapsetoetust lapsetoetus lapsetoetuse,0.011103065411537534,0.003435114503816794,0.0056798012069577564,0.002532561505065123,0.024539877300613498,0.0051813471502590676,0.010813352139163141,0.009004952723998198,0.0422462648119526,0.028716441832509685
lasteaia lasteaias lasteaiakoha,0.00828707056078526,0.004580152671755725,0.004969826056088037,0.004341534008683068,0.003067484662576687,0.0025906735751295338,0.003526093088857546,0.004502476361999099,0.011334363730036065,0.010284493121410445
leping ratifitseerida lepinguga,0.005390618714297208,0.0057251908396946565,0.005591054313099041,0.003979739507959479,0.006134969325153374,0.007772020725388601,0.0054066760695815706,0.0027014858171994596,0.0030911901081916537,0.003472685989047683
liibanonis missioonil pikendamine,0.00040228497867889616,0.0005089058524173028,8.874689385871494e-05,0.0,0.0,0.0,0.0007052186177715092,0.0,0.0007727975270479134,0.0
liiklussurmade liikluses hukkunute,0.002896451846488052,0.001272264631043257,0.0016861909833155839,0.000361794500723589,0.003067484662576687,0.018134715025906734,0.0018805829807240243,0.0009004952723998199,0.0018031942297784646,0.0016027781487912382
liitlaste ohutorje keskmaa,0.0019309678976587015,0.015903307888040712,0.003727369542066028,0.00361794500723589,0.0,0.0025906735751295338,0.003996238834038552,0.008329581269698334,0.0033487892838742917,0.00293842660611727
lipu laevu kaubalaeva,0.0026550808592807145,0.003816793893129771,0.0028399006034788782,0.004703328509406657,0.0,0.0025906735751295338,0.008227550540667606,0.00810445745159838,0.004894384337970119,0.0021370375317216507
