,female_effect_size,female_p_value,clust_ag,cluster_hdb,x,y,count
erihoolekandeteenuse,0.6084797382354736,0.0354659952383067,17,17,10.011567115783691,3.6401147842407227,47
küsima,0.6082947850227356,0.0376539845228087,6,0,9.643013000488281,7.911107540130615,1137
kuulmispuudega,0.6073921918869019,0.039285094337208,17,14,9.66976261138916,4.671724796295166,76
tõhustatud,0.6072721481323242,0.0380605661650658,17,-1,9.444929122924805,3.7409305572509766,75
jätkuma,0.6071175336837769,0.0383826401115791,16,0,8.201471328735352,8.215227127075195,173
suhtuma,0.607081949710846,0.0372050114293283,16,0,8.924838066101074,7.341594219207764,153
väljaõppe,0.6068645715713501,0.0360474367774079,3,-1,9.0081205368042,3.5955944061279297,183
väike,0.6065073609352112,0.0388831478936682,15,2,6.807862758636475,5.17721700668335,4165
möönma,0.6064703464508057,0.0381286272771421,16,0,9.196981430053711,8.83821964263916,113
säilitama,0.6063899397850037,0.0366795813454998,10,0,9.51144027709961,8.197785377502441,92
vaesemaid,0.6062332987785339,0.0377617992580824,12,0,9.262621879577637,6.233822345733643,34
psühhiaatri,0.6059510111808777,0.0384478877494426,8,16,10.306676864624023,4.183460712432861,183
tervislikult,0.6054220199584961,0.038714464246373,12,14,8.803812026977539,4.669864177703857,22
realistlikuks,0.6051204800605774,0.0391165048374188,19,4,12.402548789978027,6.007998943328857,22
sündimata,0.604861855506897,0.0387142441748896,17,-1,9.625017166137695,5.106241226196289,89
piirivalveametis,0.604819655418396,0.0381815927356516,2,-1,9.998557090759277,3.4341766834259033,146
töötamist,0.6040299534797668,0.0410500434744015,3,-1,8.60437297821045,3.428579807281494,242
kontrollitud,0.6035518646240234,0.0372595256348879,17,17,9.327613830566406,2.8430066108703613,211
ajutise,0.6033903360366821,0.0403889026493006,2,17,9.76755142211914,3.4571728706359863,554
koolipsühholoogide,0.6032788157463074,0.0412855480115841,17,15,9.320637702941895,3.6155765056610107,46
töölepingute,0.6028793454170227,0.0388473129371437,17,-1,9.585360527038574,3.0890493392944336,36
motiveeriks,0.6025444865226746,0.0373758450289599,12,14,9.306154251098633,6.50784969329834,56
jääma,0.6023799777030945,0.0389936416510328,9,0,8.390464782714844,8.061328887939453,1111
kõrges,0.6023088097572327,0.0391923238632947,4,1,7.04616117477417,4.772823810577393,45
vaatama,0.6020967364311218,0.0395686836175882,6,0,9.756354331970215,8.462221145629883,2291
ressursimahukas,0.6020353436470032,0.0398440836193204,15,2,6.814796447753906,5.277823448181152,25
