,female_effect_size,female_p_value,clust_ag,cluster_hdb,x,y,count
muusikakooli,0.6014242768287659,0.0387080825871182,9,7,8.980088233947754,1.691361904144287,21
59%,0.6006763577461243,0.0387899487977567,11,0,7.261863708496094,-5.462775230407715,33
aaviksoo,0.6006026864051819,0.0413171247133731,3,6,10.284775733947754,2.7573153972625732,515
359,0.5999144911766052,0.0394861018737512,11,0,7.383089065551758,-5.634971618652344,30
hoolitsema,0.5986810922622681,0.0412831765954941,7,1,11.658817291259766,1.7173378467559814,92
õpetab,0.5983172059059143,0.0395081757171188,8,7,10.45664119720459,2.8147802352905273,110
üldisema,0.5975372791290283,0.0405285324759792,5,1,12.193114280700684,1.498731017112732,40
534,0.5966994762420654,0.0400833223850127,11,0,7.492854595184326,-5.720949649810791,30
sõlmitav,0.59649658203125,0.040710917142532,3,6,11.193692207336426,2.095961093902588,20
psühhiaatrilise,0.5963531136512756,0.041011870276117,19,6,10.328700065612793,2.060553789138794,217
madalama,0.5959177017211914,0.0412797197956217,5,1,11.768539428710938,1.6076325178146362,387
põletav,0.595734715461731,0.0405827290692283,3,5,11.317154884338379,2.39959716796875,22
61,0.5948249697685242,0.0419856774704425,11,0,7.447976112365723,-5.694319725036621,206
163,0.5943437218666077,0.0415384770965648,11,0,7.199542045593262,-5.523357391357422,54
vanglasse,0.5938712358474731,0.0410571779245346,4,2,10.85757064819336,0.477865070104599,67
alaealise,0.5938637852668762,0.0399782285397636,6,6,10.355594635009766,1.9443035125732422,246
hooldekodu,0.5934980511665344,0.0419894171557528,3,6,10.579887390136719,1.3060998916625977,205
põlema,0.59321129322052,0.0427750609805969,10,1,11.638993263244629,1.9262667894363403,116
paremasse,0.5924848318099976,0.0433515274534089,15,3,11.639321327209473,0.6214673519134521,72
nõrgema,0.5922958850860596,0.0442750268820411,5,1,11.824872016906738,1.5316832065582275,70
kasvavat,0.5921521782875061,0.0417061386312133,14,5,11.230059623718262,2.628413438796997,73
psühholoogia,0.5906158685684204,0.0427767964705766,3,6,10.000526428222656,1.7735629081726074,26
vajava,0.5894284844398499,0.0439427297776453,6,6,10.615863800048828,2.2269463539123535,45
73,0.5885034799575806,0.0419968225281743,11,0,7.496014595031738,-5.724427223205566,186
pikema,0.5875293016433716,0.0460816643535826,5,1,12.158747673034668,1.4993736743927002,523
psühholoogilise,0.5873477458953857,0.0435625483586505,19,6,10.211392402648926,1.9924849271774292,85
lapsehoolduspuhkuse,0.5863021612167358,0.0427590646128976,9,6,10.407502174377441,1.51072359085083,27
inglise,0.585956335067749,0.0442609094901409,19,6,10.231626510620117,1.9964852333068848,886
sügavasse,0.5857987403869629,0.0433935930546001,4,2,10.964141845703125,0.48916420340538025,27
keerulisema,0.5852795243263245,0.0438255979532432,5,1,12.066791534423828,1.4632903337478638,25
õpingute,0.5848745703697205,0.0439186361501807,0,7,9.436121940612793,1.1003570556640625,149
kergemalt,0.5847985148429871,0.0446516073400911,1,4,12.003801345825195,1.2483587265014648,35
urbo,0.584770917892456,0.0429943229081082,12,6,8.515948295593262,7.926427841186523,198
