,female_effect_size,female_p_value
õpilastele,-0.03148868307471275,0.5321191228885145
kaitseministeerium,-0.058968476951122284,0.5717391594079089
arvestatav,0.44610992074012756,0.09560689534537192
sügava,0.23011133074760437,0.24724846425830904
korraldamiseks,0.38094183802604675,0.1321634526759481
töövõimereformi,0.38799571990966797,0.12797064119850854
registrisse,0.2999725341796875,0.18716957053899286
tagajärgi,-0.21699026226997375,0.7371809350913101
maale,0.4187477231025696,0.11493494488044287
demokraatliku,-0.4782273769378662,0.9200213616344535
töötuna,0.2988552749156952,0.18816876213352995
toetasid,-0.2380693256855011,0.760869752626518
39,-0.031233036890625954,0.5321888616977685
vastamiseks,0.10375860333442688,0.38552195261028344
inimesest,-0.04062560200691223,0.5517057616927242
survet,-0.15315507352352142,0.6764734523270308
tamme,-0.23184040188789368,0.7452189985530995
politseinike,0.29416003823280334,0.1955077404637544
kohtunik,-0.06933480501174927,0.5796329344336735
iseloomuga,0.06845498085021973,0.4212853286057979
milling,-0.38659191131591797,0.8726965089941653
tallinnasse,0.11383608728647232,0.3765270693362336
teavitada,0.12986360490322113,0.3495723148513876
koda,-0.06019723042845726,0.5673719867640705
kaotavad,0.2536962032318115,0.23125945078146104
toimetulek,0.2031194269657135,0.28133277638369314
kaitsevõime,-0.1840135008096695,0.7062407239164755
sotsiaalkaitseminister,-0.06789125502109528,0.5833809276366217
dmitri,-0.6621089577674866,0.9723773497710845
jaotus,-0.09315492957830429,0.6074590379590251
tõestada,-0.21652740240097046,0.7334044541315994
pensionikindlustuse,0.3321082890033722,0.16850863960082973
takistada,-0.05883073806762695,0.5784923382284421
tunti,0.28629249334335327,0.20026372993304542
õigusaktide,0.3730594217777252,0.13617028040942603
euroraha,0.05257965624332428,0.4327691432933801
deklaratsiooni,0.0851626843214035,0.4065432878332367
veebruaris,0.19497567415237427,0.2851827509353928
nõusoleku,0.33740222454071045,0.1560445532958863
alustab,0.04770732298493385,0.4444198690909279
pange,-0.4530612826347351,0.9080172229312944
tugi,-0.06663373857736588,0.5757344597711862
suruda,-0.35620683431625366,0.8499061616059558
lapsevanem,0.30608028173446655,0.18937738380432
46,0.17507532238960266,0.3043399508090292
püha,-0.1905364990234375,0.7128717633203916
