,female_effect_size,female_p_value
raskeveokid,-0.18425911664962769,0.6991355607644025
mm,-0.6050693988800049,0.9605186450806059
tuules,-0.25800836086273193,0.7770258704436146
talude,0.23594930768013,0.24297892672846666
aastaarvu,0.17727050185203552,0.30192603363628234
deklareeritakse,-0.025689320638775826,0.5326600518792739
töödel,-0.05033627524971962,0.566277829500252
vastuvõtud,0.23132474720478058,0.24711104722237442
intervjuust,-0.29218682646751404,0.8015923786217853
kohustustele,0.023056020960211754,0.4755779200305724
tsirkuses,-0.14210671186447144,0.6538329001801938
vaenulike,0.13941314816474915,0.351687459337495
koordineerimisel,0.012390851974487305,0.4859834927981852
kaubandusest,0.005459060426801443,0.48940939928617844
pingutustele,-0.028989454731345177,0.5334712238688406
toodeti,-0.11713524162769318,0.6352197589889289
inventuur,-0.32335755228996277,0.8233379449336047
kustutab,0.4531942903995514,0.09118656120831115
eelarveraamistiku,-0.01902894489467144,0.514260654312001
nähtavus,-0.18569272756576538,0.7032340824410915
ümbritsevad,0.027416767552495003,0.4735538835778751
tugineva,0.312735915184021,0.1781506774868209
soetatakse,0.2330716997385025,0.2487154059789316
elutähtsad,0.10396825522184372,0.3741985607558872
liikmeskonda,-0.12923844158649445,0.6439064105575312
dubleerida,-0.04891616851091385,0.5584440989022801
vanemahüvitisega,0.1727914661169052,0.3058268691757683
laiemate,0.27206656336784363,0.21764934858510054
loobumiseks,0.10060831904411316,0.3841113734664705
ideaalses,0.35744574666023254,0.1487892980861395
isaga,-0.32198387384414673,0.8297535239003364
jäätmehoolduse,0.43831145763397217,0.1060035626669189
taaskasutuse,0.294309139251709,0.1951940433271213
korralike,0.04588247090578079,0.4462547092860504
keskkonnasõbraliku,0.18101830780506134,0.30114615268082323
keskkonnainspektsioonile,0.13657191395759583,0.3501757903760223
segaolmejäätmete,0.35997292399406433,0.14971554636600382
kristel,-0.026625607162714005,0.5299602063063933
õpetajaamet,0.14024795591831207,0.3439064838159466
järje,-0.19622892141342163,0.7091119400417074
